date,country,count
2016-06-27,other,1412
2016-06-28,CH,1233
2016-06-28,US,695
2016-06-28,other,585
2016-06-29,CH,4061
2016-06-29,US,316
2016-06-29,other,588
2016-06-30,CH,8393
2016-06-30,US,589
2016-06-30,other,1692
2016-07-01,CH,10168
2016-07-01,US,1257
2016-07-01,other,1153
2016-07-02,CH,42
2016-07-02,US,93
2016-07-02,other,220
2016-07-03,CH,44
2016-07-03,US,72
2016-07-03,other,364
2016-07-04,CH,2162
2016-07-04,US,167
2016-07-04,other,1161
2016-07-05,CH,890
2016-07-05,US,765
2016-07-05,other,1746
2016-07-06,CH,12127
2016-07-06,US,1045
2016-07-06,other,1502
2016-07-07,CH,1094
2016-07-07,US,567
2016-07-07,other,1475
2016-07-08,CH,754
2016-07-08,US,1147
2016-07-08,other,1193
2016-07-09,CH,64
2016-07-09,US,265
2016-07-09,other,280
2016-07-10,CH,43
2016-07-10,US,153
2016-07-10,other,333
2016-07-11,CH,7818
2016-07-11,US,1209
2016-07-11,other,4732
2016-07-12,CH,739
2016-07-12,US,1384
2016-07-12,other,899
2016-07-13,CH,551
2016-07-13,US,1621
2016-07-13,other,1665
2016-07-14,CH,128
2016-07-14,US,944
2016-07-14,other,3037
2016-07-15,CH,269
2016-07-15,US,946
2016-07-15,other,1046
2016-07-16,CH,46
2016-07-16,US,159
2016-07-16,other,152
2016-07-17,CH,91
2016-07-17,US,129
2016-07-17,other,224
2016-07-18,CH,115
2016-07-18,US,512
2016-07-18,other,689
2016-07-19,CH,733
2016-07-19,US,1431
2016-07-19,other,1097
2016-07-20,CH,993
2016-07-20,US,993
2016-07-20,other,1699
2016-07-21,CH,405
2016-07-21,US,727
2016-07-21,other,1106
2016-07-22,CH,775
2016-07-22,US,533
2016-07-22,other,852
2016-07-23,CH,37
2016-07-23,US,90
2016-07-23,other,382
2016-07-24,CH,48
2016-07-24,US,115
2016-07-24,other,185
2016-07-25,CH,431
2016-07-25,US,1276
2016-07-25,other,954
2016-07-26,CH,68
2016-07-26,US,923
2016-07-26,other,923
2016-07-27,CH,349
2016-07-27,US,1403
2016-07-27,other,7163
2016-07-28,CH,126
2016-07-28,US,1064
2016-07-28,other,1186
2016-07-29,CH,634
2016-07-29,US,1526
2016-07-29,other,1111
2016-07-30,CH,64
2016-07-30,US,266
2016-07-30,other,160
2016-07-31,CH,40
2016-07-31,US,184
2016-07-31,other,294
2016-08-01,CH,89
2016-08-01,US,981
2016-08-01,other,708
2016-08-02,CH,140
2016-08-02,US,1247
2016-08-02,other,1410
2016-08-03,CH,1842
2016-08-03,US,1133
2016-08-03,other,898
2016-08-04,CH,180
2016-08-04,US,901
2016-08-04,other,1201
2016-08-05,CH,135
2016-08-05,US,728
2016-08-05,other,977
2016-08-06,CH,42
2016-08-06,US,201
2016-08-06,other,122
2016-08-07,CH,48
2016-08-07,US,214
2016-08-07,other,265
2016-08-08,CH,247
2016-08-08,US,590
2016-08-08,other,1130
2016-08-09,CH,257
2016-08-09,US,1203
2016-08-09,other,978
2016-08-10,CH,329
2016-08-10,US,949
2016-08-10,other,909
2016-08-11,CH,224
2016-08-11,US,1320
2016-08-11,other,794
2016-08-12,CH,551
2016-08-12,US,687
2016-08-12,other,542
2016-08-13,CH,34
2016-08-13,US,111
2016-08-13,other,250
2016-08-14,CH,34
2016-08-14,US,159
2016-08-14,other,227
2016-08-15,CH,193
2016-08-15,US,920
2016-08-15,other,1036
2016-08-16,CH,107
2016-08-16,US,887
2016-08-16,other,575
2016-08-17,CH,190
2016-08-17,US,895
2016-08-17,other,3139
2016-08-18,CH,328
2016-08-18,US,1906
2016-08-18,other,871
2016-08-19,CH,230
2016-08-19,US,1554
2016-08-19,other,631
2016-08-20,CH,80
2016-08-20,US,225
2016-08-20,other,281
2016-08-21,CH,53
2016-08-21,US,352
2016-08-21,other,254
2016-08-22,CH,299
2016-08-22,US,1806
2016-08-22,other,1122
2016-08-23,CH,224
2016-08-23,US,1050
2016-08-23,other,1020
2016-08-24,CH,55
2016-08-24,US,685
2016-08-24,other,947
2016-08-25,CH,113
2016-08-25,US,1472
2016-08-25,other,1144
2016-08-26,CH,166
2016-08-26,US,897
2016-08-26,other,1705
2016-08-27,CH,36
2016-08-27,US,380
2016-08-27,other,305
2016-08-28,CH,70
2016-08-28,US,143
2016-08-28,other,122
2016-08-29,CH,94
2016-08-29,US,1335
2016-08-29,other,928
2016-08-30,CH,71
2016-08-30,US,1394
2016-08-30,other,993
2016-08-31,CH,343
2016-08-31,US,1139
2016-08-31,other,955
2016-09-01,CH,53
2016-09-01,US,833
2016-09-01,other,1117
2016-09-02,CH,206
2016-09-02,US,983
2016-09-02,other,1221
2016-09-03,CH,43
2016-09-03,US,392
2016-09-03,other,217
2016-09-04,CH,53
2016-09-04,US,519
2016-09-04,other,410
2016-09-05,CH,94
2016-09-05,US,254
2016-09-05,other,668
2016-09-06,CH,108
2016-09-06,US,1182
2016-09-06,other,1332
2016-09-07,CH,146
2016-09-07,US,1385
2016-09-07,other,968
2016-09-08,CH,55
2016-09-08,US,2879
2016-09-08,other,1907
2016-09-09,CH,59
2016-09-09,US,1472
2016-09-09,other,1146
2016-09-10,CH,59
2016-09-10,US,172
2016-09-10,other,350
2016-09-11,CH,38
2016-09-11,US,292
2016-09-11,other,207
2016-09-12,CH,86
2016-09-12,US,1124
2016-09-12,other,1342
2016-09-13,CH,87
2016-09-13,US,1165
2016-09-13,other,976
2016-09-14,CH,195
2016-09-14,US,1484
2016-09-14,other,984
2016-09-15,CH,141
2016-09-15,US,1549
2016-09-15,other,1497
2016-09-16,CH,167
2016-09-16,US,1264
2016-09-16,other,978
2016-09-17,CH,38
2016-09-17,US,275
2016-09-17,other,185
2016-09-18,CH,35
2016-09-18,US,230
2016-09-18,other,221
2016-09-19,CH,355
2016-09-19,US,1138
2016-09-19,other,1175
2016-09-20,CH,349
2016-09-20,US,1661
2016-09-20,other,945
2016-09-21,CH,254
2016-09-21,US,2759
2016-09-21,other,1635
2016-09-22,CH,104
2016-09-22,US,2321
2016-09-22,other,3639
2016-09-23,CH,146
2016-09-23,US,1131
2016-09-23,other,2626
2016-09-24,CH,37
2016-09-24,US,367
2016-09-24,other,245
2016-09-25,CH,35
2016-09-25,US,104
2016-09-25,other,279
2016-09-26,CH,213
2016-09-26,US,1410
2016-09-26,other,2096
2016-09-27,CH,317
2016-09-27,US,1364
2016-09-27,other,2028
2016-09-28,CH,192
2016-09-28,US,1284
2016-09-28,other,2094
2016-09-29,CH,206
2016-09-29,US,1752
2016-09-29,other,1872
2016-09-30,CH,299
2016-09-30,US,2074
2016-09-30,other,3455
2016-10-01,CH,40
2016-10-01,US,42
2016-10-01,other,477
2016-10-02,CH,59
2016-10-02,US,227
2016-10-02,other,501
2016-10-03,CH,62
2016-10-03,US,887
2016-10-03,other,1405
2016-10-04,CH,116
2016-10-04,US,1264
2016-10-04,other,2212
2016-10-05,CH,115
2016-10-05,US,1372
2016-10-05,other,2638
2016-10-06,CH,46
2016-10-06,US,1474
2016-10-06,other,4051
2016-10-07,CH,48
2016-10-07,US,1299
2016-10-07,other,4044
2016-10-08,CH,41
2016-10-08,US,134
2016-10-08,other,325
2016-10-09,CH,107
2016-10-09,US,202
2016-10-09,other,370
2016-10-10,CH,45
2016-10-10,US,955
2016-10-10,other,1359
2016-10-11,CH,58
2016-10-11,US,1372
2016-10-11,other,1287
2016-10-12,CH,88
2016-10-12,US,1145
2016-10-12,other,1543
2016-10-13,CH,65
2016-10-13,US,1207
2016-10-13,other,4085
2016-10-14,CH,129
2016-10-14,US,1327
2016-10-14,other,4510
2016-10-15,CH,37
2016-10-15,US,572
2016-10-15,other,741
2016-10-16,CH,35
2016-10-16,US,322
2016-10-16,other,407
2016-10-17,CH,43
2016-10-17,US,1237
2016-10-17,other,1811
2016-10-18,CH,59
2016-10-18,US,3398
2016-10-18,other,2113
2016-10-19,CH,276
2016-10-19,US,2453
2016-10-19,other,1247
2016-10-20,CH,321
2016-10-20,US,3634
2016-10-20,other,1594
2016-10-21,CH,73
2016-10-21,US,2341
2016-10-21,other,1157
2016-10-22,CH,35
2016-10-22,US,1019
2016-10-22,other,469
2016-10-23,CH,40
2016-10-23,US,876
2016-10-23,other,583
2016-10-24,CH,673
2016-10-24,US,1742
2016-10-24,other,1433
2016-10-25,CH,202
2016-10-25,US,2118
2016-10-25,other,1181
2016-10-26,CH,679
2016-10-26,US,3519
2016-10-26,other,2235
2016-10-27,CH,104
2016-10-27,US,2254
2016-10-27,other,1361
2016-10-28,CH,91
2016-10-28,US,2645
2016-10-28,other,1976
2016-10-29,CH,70
2016-10-29,US,390
2016-10-29,other,529
2016-10-30,CH,2
2016-10-30,US,169
2016-10-30,other,655
2016-10-31,CH,110
2016-10-31,US,2031
2016-10-31,other,2930
2016-11-01,CH,217
2016-11-01,US,1852
2016-11-01,other,2520
2016-11-02,CH,147
2016-11-02,US,17496
2016-11-02,other,3257
2016-11-03,CH,136
2016-11-03,US,45970
2016-11-03,other,1816
2016-11-04,CH,446
2016-11-04,US,48098
2016-11-04,other,1111
2016-11-05,CH,45
2016-11-05,US,3774
2016-11-05,other,393
2016-11-06,CH,78
2016-11-06,US,5970
2016-11-06,other,490
2016-11-07,CH,360
2016-11-07,US,30584
2016-11-07,other,1528
2016-11-08,CH,1076
2016-11-08,US,10097
2016-11-08,other,1861
2016-11-09,CH,127
2016-11-09,US,4688
2016-11-09,other,2398
2016-11-10,CH,113
2016-11-10,US,7962
2016-11-10,other,2763
2016-11-11,CH,129
2016-11-11,US,22131
2016-11-11,other,2451
2016-11-12,CH,61
2016-11-12,US,9164
2016-11-12,other,672
2016-11-13,CH,131
2016-11-13,US,400
2016-11-13,other,914
2016-11-14,CH,541
2016-11-14,US,10855
2016-11-14,other,2509
2016-11-15,CH,141
2016-11-15,US,33188
2016-11-15,other,2120
2016-11-16,CH,154
2016-11-16,US,64762
2016-11-16,other,2895
2016-11-17,CH,170
2016-11-17,US,56483
2016-11-17,other,2227
2016-11-18,CH,214
2016-11-18,US,10898
2016-11-18,other,2225
2016-11-19,CH,60
2016-11-19,US,10083
2016-11-19,other,509
2016-11-20,CH,77
2016-11-20,US,2553
2016-11-20,other,445
2016-11-21,CH,349
2016-11-21,US,2813
2016-11-21,other,1836
2016-11-22,CH,1869
2016-11-22,US,3673
2016-11-22,other,1685
2016-11-23,CH,188
2016-11-23,US,5663
2016-11-23,other,1131
2016-11-24,CH,170
2016-11-24,US,3364
2016-11-24,other,1732
2016-11-25,CH,263
2016-11-25,US,4887
2016-11-25,other,1768
2016-11-26,CH,51
2016-11-26,US,584
2016-11-26,other,497
2016-11-27,CH,231
2016-11-27,US,63930
2016-11-27,other,322
2016-11-28,CH,130
2016-11-28,US,17799
2016-11-28,other,1417
2016-11-29,CH,166
2016-11-29,US,2689
2016-11-29,other,2036
2016-11-30,CH,363
2016-11-30,US,1987
2016-11-30,other,1553
2016-12-01,CH,163
2016-12-01,US,2145
2016-12-01,other,1782
2016-12-02,CH,160
2016-12-02,US,4433
2016-12-02,other,2013
2016-12-03,CH,97
2016-12-03,US,4469
2016-12-03,other,506
2016-12-04,CH,130
2016-12-04,US,1631
2016-12-04,other,435
2016-12-05,CH,222
2016-12-05,US,6301
2016-12-05,other,1496
2016-12-06,CH,341
2016-12-06,US,5210
2016-12-06,other,1884
2016-12-07,CH,383
2016-12-07,US,3002
2016-12-07,other,1348
2016-12-08,CH,76
2016-12-08,US,311
2016-12-08,other,270
2016-12-09,CH,249
2016-12-09,US,1024
2016-12-09,other,1862
2016-12-10,CH,96
2016-12-10,US,455
2016-12-10,other,478
2016-12-11,CH,38
2016-12-11,US,380
2016-12-11,other,375
2016-12-12,CH,308
2016-12-12,US,2004
2016-12-12,other,1341
2016-12-13,CH,314
2016-12-13,US,2072
2016-12-13,other,1276
2016-12-14,CH,293
2016-12-14,US,2017
2016-12-14,other,1518
2016-12-15,CH,253
2016-12-15,US,2034
2016-12-15,other,1199
2016-12-16,CH,307
2016-12-16,US,1060
2016-12-16,other,2308
2016-12-17,CH,63
2016-12-17,US,667
2016-12-17,other,646
2016-12-18,CH,51
2016-12-18,US,12032
2016-12-18,other,352
2016-12-19,CH,86
2016-12-19,US,9417
2016-12-19,other,2067
2016-12-20,CH,542
2016-12-20,US,5519
2016-12-20,other,2401
2016-12-21,CH,328
2016-12-21,US,11551
2016-12-21,other,1580
2016-12-22,CH,56
2016-12-22,US,7130
2016-12-22,other,1456
2016-12-23,CH,90
2016-12-23,US,11646
2016-12-23,other,805
2016-12-24,CH,39
2016-12-24,US,227
2016-12-24,other,285
2016-12-25,CH,36
2016-12-25,US,245
2016-12-25,other,545
2016-12-26,CH,48
2016-12-26,US,264
2016-12-26,other,378
2016-12-27,CH,79
2016-12-27,US,726
2016-12-27,other,941
2016-12-28,CH,71
2016-12-28,US,886
2016-12-28,other,956
2016-12-29,CH,45
2016-12-29,US,574
2016-12-29,other,535
2016-12-30,CH,38
2016-12-30,US,378
2016-12-30,other,483
2016-12-31,CH,40
2016-12-31,US,304
2016-12-31,other,294
2017-01-01,CH,37
2017-01-01,US,513
2017-01-01,other,281
2017-01-02,CH,92
2017-01-02,US,725
2017-01-02,other,545
2017-01-03,CH,41
2017-01-03,US,2574
2017-01-03,other,1032
2017-01-04,CH,56
2017-01-04,US,3637
2017-01-04,other,1014
2017-01-05,CH,87
2017-01-05,US,3665
2017-01-05,other,1039
2017-01-06,CH,86
2017-01-06,US,4235
2017-01-06,other,1057
2017-01-07,CH,42
2017-01-07,US,1912
2017-01-07,other,502
2017-01-08,CH,41
2017-01-08,US,1609
2017-01-08,other,472
2017-01-09,CH,64
2017-01-09,US,1988
2017-01-09,other,1416
2017-01-10,CH,129
2017-01-10,US,4830
2017-01-10,other,1481
2017-01-11,CH,178
2017-01-11,US,10970
2017-01-11,other,1775
2017-01-12,CH,52
2017-01-12,US,15258
2017-01-12,other,4314
2017-01-13,CH,285
2017-01-13,US,1859
2017-01-13,other,1571
2017-01-14,CH,48
2017-01-14,US,802
2017-01-14,other,3236
2017-01-15,CH,38
2017-01-15,US,407
2017-01-15,other,818
2017-01-16,CH,159
2017-01-16,US,890
