number,title,user,state,date_created,date_closed,numcomments,ispull
16,"TH1 from_numpy does not fill _fSumw2",HDembinski,closed,2018-12-13T15:03:20Z,2018-12-13T15:55:59Z,0,False
15,"Tests are missing for histograms",HDembinski,open,2018-12-13T14:59:52Z,None,3,False
14,"This is a pre-release of 0.3.0",jpivarski,closed,2018-12-12T22:26:05Z,2018-12-12T23:04:49Z,0,True
13,"Faster LorentzVector stuff",nsmith-,closed,2018-12-02T08:19:02Z,2018-12-02T22:37:27Z,1,True
12,"Issue override jaggedarray sum",jpivarski,closed,2018-11-28T18:30:28Z,2018-11-28T18:53:34Z,0,True
11,"Issue 10",jpivarski,closed,2018-11-28T15:23:07Z,2018-11-28T16:59:33Z,0,True
10,"TLorentzVector ValueError in __repr__",shane-breeze,closed,2018-11-25T14:07:41Z,2018-11-28T17:00:39Z,4,False
9,"Adding fix for cross and rotate",henryiii,closed,2018-11-08T18:53:13Z,2018-11-08T19:25:34Z,1,True
8,"TH3 not yet implemented",marinang,open,2018-10-23T13:00:21Z,None,2,False
7,"Introduction of TGraph/TGraphAsymmErrors/TGraphErrors",marinang,closed,2018-10-04T21:02:56Z,2018-10-05T13:04:04Z,8,True
6,"TGraphAsymmErrors unusable.",marinang,closed,2018-10-02T16:04:04Z,2018-10-05T13:04:35Z,4,False
5,"Roothist to pandas",jpivarski,closed,2018-09-26T16:41:47Z,2018-09-26T16:53:09Z,0,True
4,"Move conversion code to methods",jpivarski,closed,2018-09-25T12:35:03Z,2018-09-25T12:50:27Z,0,True
3,"Package has undocumented dependency on `python-awkward-array`",kgizdov,closed,2018-09-24T13:48:57Z,2018-09-24T20:46:36Z,0,False
2,"NameError numbers.Real in TH1.fillallw",douglasdavis,closed,2018-09-20T12:57:47Z,2018-09-20T15:56:59Z,11,False
1,"add variances in mixin for TH1*",kratsg,closed,2018-09-19T22:11:12Z,2018-09-19T22:23:17Z,0,True
